time,solve_time,solver_iterations,min_slack,solver_success,critical_constraint_name,nominal_cost,barrier_cost,total_cost
0.0,0.0036448099999688566,5,0.0014155914825841887,True,twist_vx_upper,0.002540704520915481,0.0009733823505113691,0.00351408687142685
0.01,0.0026751610021165106,4,0.0019020696828807582,True,twist_vx_upper,0.0014180300406619831,0.0009311640835374303,0.0023491941241994135
0.02,0.0020700279965240043,3,0.001774580431615047,True,twist_vx_upper,0.0016319408445817063,0.0009545140539229304,0.0025864548985046368
0.03,0.001403174999722978,3,0.0017216216956607022,True,twist_vx_upper,0.0017406451800227741,0.0009775556606139908,0.0027182008406367647
0.04,0.0015058739991218317,3,0.0019619313546342942,True,twist_vx_upper,0.0013570674338592122,0.0009888271080027735,0.0023458945418619857
0.05,0.0019367189997865353,3,0.0017522753140285507,True,twist_vx_upper,0.001707775798072374,0.0010207650908564648,0.0027285408889288387
0.06,0.0018014900015259627,3,0.0019226002768225614,True,twist_vx_upper,0.001445755351767483,0.0010339705384628107,0.0024797258902302935
0.07,0.0017597209989617113,3,0.001982665118201332,True,twist_vx_upper,0.0014051858649688131,0.0010693336821654361,0.002474519547134249
0.08,0.001927158999023959,4,0.002105021089830905,True,twist_vx_upper,0.0015835804173070392,0.0011980816697998375,0.0027816620871068767
0.09,0.0025052929995581508,5,0.0025656331746396477,True,twist_vx_upper,0.0013679150363970314,0.0011977349674773183,0.0025656500038743497
0.1,0.0028668080012721475,6,0.0022357628364293447,True,cbf_obstacle_8,0.0019658813479544544,0.0012245976657292005,0.003190479013683655
0.11,0.0033294839995505754,7,0.0012715985931768259,True,cbf_obstacle_8,0.0035829713615149975,0.0011484497502510828,0.00473142111176608
0.12,0.00418853399969521,12,0.0011336849615595224,True,cbf_obstacle_8,0.004376929825664812,0.0011241549444979612,0.005501084770162773
0.13,0.0036986890008847695,7,0.000980763312709687,True,cbf_obstacle_8,0.005624437883671975,0.0010853296122541386,0.006709767495926114
0.14,0.004753257999254856,11,0.0008512756976517544,True,cbf_obstacle_8,0.007345499778947564,0.0010645611166701864,0.00841006089561775
0.15,0.004463322002266068,10,0.0007484748078085968,True,cbf_obstacle_8,0.009409776335334597,0.0010474468329818949,0.01045722316831649
